Roaster,Name,Review,Roaster_link,Origin,Roast,dollars_per_ounce,Review_date
Equator Coffees,Ecuador Finca Lugmapata,"Floral-driven, deep-toned. Lavender, dark chocolate, bing cherry, amber, tangerine zest in aroma and cup. Sweetly tart structure with balanced, juicy acidity; plush, satiny mouthfeel. Resonant finish with notes of lavender and dark chocolate. ",https://www.equatorcoffees.com/,"Pallatanga, Chimborazo Province, Ecuador",Medium-Light,3.67,April 2023
Equator Coffees,Mocha Java Blend,"Richly chocolaty, sweetly fruit-toned. Baking chocolate, raspberry jam, almond, cedar, lemon balm in aroma and cup. Sweet structure with brisk acidity; full, syrupy mouthfeel. Crisply chocolaty finish supported by suggestions of raspberry and cedar.",https://www.equatorcoffees.com/,Ethiopia; Sumatra,Medium-Light,1.46,April 2023
Regent Coffee,Costa Rica Raisin Honey,"Juicy, fruit-centered. Dried apricot, lychee, almond, cocoa nib, magnolia in aroma and cup. Sweetly tart structure with bright, vibrant acidity; crisp, syrupy mouthfeel. Floral finish supported by dried apricot notes.",https://bit.ly/3vqsQg7,"Dota, Tarrazú, Costa Rica",Medium-Light,2.17,April 2023
JBC Coffee Roasters,Quindio Gold Honey Colombia,"Floral-toned, gently fermenty. Narcissus, red wine, lemon verbena, cedar, myrrh in aroma and cup. Brightly sweet with juicy acidity; plush, syrupy mouthfeel. Resonant finish consolidates to notes of narcissus and red wine.",https://www.jbccoffeeroasters.com/product-category/coffee/,"Circasia Municipality, Quindio Department, Colombia",Light,2.25,April 2023
Regent Coffee,Barrel-Aged Natural Guji,"Richly fermenty, sweetly whiskey-toned. Bourbon barrel, dark chocolate, orange zest, amber, fir in aroma and cup. Sweet structure with brisk acidity; full, creamy mouthfeel. The gently drying finish is centered around Bourbon barrel notes.",https://bit.ly/3vqsQg7,"Guji Zone, Oromia Region, southern Ethiopia",Medium-Light,2.21,April 2023
Wonderstate Coffee,Organic Peru San Fernando Tres Fincas Gesha,"Richly sweet, floral-toned. Wisteria, red plum, cocoa nib, hazelnut butter, marjoram in aroma and cup. Balanced, sweet-tart structure with vibrant acidity; very full, syrupy-smooth mouthfeel. Resonant, lingering flavor-saturated finish.",,"Incawasi, La Convencion Province, Peru",Medium-Light,2.42,March 2023
Paradise Roasters,Kona Classic,"Integrated, balanced, deep-toned. Raw chocolate, dried coconut, tiger lily, allspice, cedar in aroma and cup. Complex, sweet-savory structure with juicy-bright acidity; full, viscous mouthfeel. Sweetly rich finish, crisply chocolaty and spice-toned.",https://paradiseroasters.com/,"Kona growing region, Big Island of Hawai’i",Medium-Light,6.25,March 2023
Paradise Roasters,Hawai’i Ka‘ū Champagne Natural,"Fruit-toned, sweetly tart. Strawberry guava, lemon balm, dark chocolate, tangerine zest, cane sugar in aroma and cup. Sweetly tart with bright, juicy acidity; lightly syrupy mouthfeel. Delicately fruity finish with undertones of strawberry and deep chocolate.",https://paradiseroasters.com/,"Ka‘ū growing region, Big Island of Hawai’i",Medium-Light,6.25,March 2023
Drink Coffee Do Stuff,Kenya Gatomboya,"Deeply sweet-savory, yet bright and juicy. Dark chocolate, candycap mushroom, red currant, marjoram, cedar in aroma and cup. Sweetly savory structure with juicy, high-toned acidity; crisp, lightly satiny mouthfeel. The very long, very sweet finish is flavor-laden and rich.",,"Nyeri growing region, south-central Kenya",Medium-Light,2.5,March 2023
Wonderstate Coffee,Burundi Nemba Washed Process,"Delicately citrusy, multi-layered. Pink grapefruit zest, apricot, salted caramel, baking chocolate in aroma and cup. Sweetly tart structure with bright, balanced acidity; energetic, satiny mouthfeel. The bright finish consolidates to notes of pink grapefruit zest and salted caramel.",,"Kayanza, Northern Province, Burundi",Medium-Light,1.92,March 2023
